nbVille,tInit,tFin,alpha,amplitude,MaxRepetitions,Cout
30,2355,0.01031114251257417,0.9102750087224696,7,1687,59.862034
30,1057,0.019737826200272042,0.9761949314468987,5,275,52.771213
